"city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi"
"Ankeny","Brandy",81119,4921,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
"Ankeny","Amaretto",21216,1716,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
"Ankeny","Misc",415087,24006,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
"Ankeny","Whisky",1644129,90385,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
"Ankeny","Rum",646077,45416,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
"Ankeny","Gin",129625,9488,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
"Anthon","Gin",1627,98,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
"Anthon","Schnapps",7235,518,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
"Anthon","Vodka",14681,1312,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
"Anthon","Whisky",52648,3375,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
"Anthon","Distilled Spirits",385,18,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
"Anthon","Rum",10192,664,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
"Anthon","Brandy",2167,158,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
"Anthon","Tequila",4262,239,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
"Anthon","Amaretto",556,70,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
"Anthon","Misc",9666,553,90.7,17.6,3.3,26858,670,645,0,2,9,0,0,14
"Arlington","Misc",852,48,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
"Arlington","Brandy",1378,126,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
"Arlington","Vodka",3671,482,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
"Arlington","Tequila",371,21,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
"Arlington","Rum",3338,304,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
"Arlington","Amaretto",9,1,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
"Arlington","Gin",747,113,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
"Arlington","Whisky",16150,1430,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
"Arlington","Schnapps",2271,211,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
"Arlington","Distilled Spirits",91,3,90.7,10.7,5,27159,526,512,0,3,0,0,0,11
"Armstrong","Brandy",954,93,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
"Armstrong","Vodka",9298,1084,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
"Armstrong","Whisky",18903,1559,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
"Armstrong","Amaretto",59,7,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
"Armstrong","Gin",492,48,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
"Armstrong","Misc",3042,163,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
"Armstrong","Rum",8279,652,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
"Armstrong","Schnapps",1670,120,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
"Armstrong","Tequila",2805,82,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
"Armstrong","Distilled Spirits",563,27,89.5,12.9,3.5,27059,898,888,0,0,0,0,0,10
"Arnolds Park","Rum",69546,4588,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
"Arnolds Park","Tequila",20828,1269,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
"Arnolds Park","Misc",38752,2432,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
"Arnolds Park","Distilled Spirits",2623,136,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
"Arnolds Park","Schnapps",26509,1882,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
"Arnolds Park","Brandy",6219,412,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
"Arnolds Park","Whisky",126267,7461,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
"Arnolds Park","Amaretto",933,113,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
"Arnolds Park","Gin",9984,704,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
"Arnolds Park","Vodka",101390,8155,96.8,20.9,9.7,25156,1024,969,15,4,0,0,8,28
"Atkins","Whisky",1762,99,94.6,30.8,2,45823,1713,1665,0,0,26,0,0,22
"Atkins","Gin",39,3,94.6,30.8,2,45823,1713,1665,0,0,26,0,0,22
"Atkins","Vodka",537,42,94.6,30.8,2,45823,1713,1665,0,0,26,0,0,22
"Atkins","Rum",585,41,94.6,30.8,2,45823,1713,1665,0,0,26,0,0,22
"Atkins","Brandy",6,0,94.6,30.8,2,45823,1713,1665,0,0,26,0,0,22
"Atkins","Tequila",86,4,94.6,30.8,2,45823,1713,1665,0,0,26,0,0,22
"Atkins","Schnapps",93,6,94.6,30.8,2,45823,1713,1665,0,0,26,0,0,22
"Atkins","Misc",252,11,94.6,30.8,2,45823,1713,1665,0,0,26,0,0,22
"Atlantic","Distilled Spirits",6561,310,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
"Atlantic","Misc",101436,5471,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
"Atlantic","Amaretto",2578,262,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
"Atlantic","Vodka",186212,18284,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
"Atlantic","Brandy",12981,1043,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
"Atlantic","Rum",137736,10158,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
"Atlantic","Gin",21140,1892,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
"Atlantic","Tequila",53687,3635,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
"Atlantic","Schnapps",36294,2876,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
"Atlantic","Whisky",454152,30570,88,21.1,1.9,25953,6817,6627,21,46,30,23,15,55
"Audubon","Gin",1893,153,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
"Audubon","Brandy",3568,335,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
"Audubon","Misc",8091,545,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
"Audubon","Vodka",23865,3075,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
"Audubon","Distilled Spirits",356,18,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
"Audubon","Whisky",57895,4785,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
"Audubon","Schnapps",5787,542,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
"Audubon","Amaretto",1463,194,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
"Audubon","Rum",23208,1761,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
"Audubon","Tequila",2834,211,86.6,13,2.6,25868,2043,1953,2,34,7,0,0,47
"Aurelia","Rum",1508,94,92.7,16.6,5.5,32305,955,929,0,0,14,0,0,12
